CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Current,Financial assets measured at amortized cost - Current,Current financial assets for hedging,Current contract assets,Accounts & notes receivable,Other receivable,Loan to others - Short-Term,Total inventories,"Non-current assets classified as held for sale, net",Total current tax assets,Total current assets,Total non-current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Non-Current,Financial assets measured at amortized cost - Non-Current,Non-current financial assets for hedging,Non-current contract assets,"Investments accounted for using equity method, net",Non-current prepayments for investments,"Total property, plant and equipment",Goodwill and intangible assets,Deferred tax assets,Deferred assets,Right of use assets,"Investment property, net",Total other non-current assets,Total non-current assets,Total assets,Total short-term borrowings,Total short-term notes and bills payable,Total current financial liabilities at fair value through profit or loss,Current financial liabilities for hedging,Financial liabilities measured at amortized cost - Current,Current contract liabilities,Accounts and notes payable,Other payable,Current tax liabilities,Total current provisions,Liabilities included in disposal groups classified as held for sale,Current Lease Liabilities,"Total long-term liabilities, current portion",Current preference share liabilities,Total current liabilities,Total non-current financial liabilities at fair value through profit or loss,Non-current financial liabilities for hedging,Financial liabilities measured at amortized cost - Non-Current,Non-current contract liabilities,Non-current preference share liabilities,Total bonds payable,Long-term bank loans,Other long-term payable,Non-current Lease Liabilities,Total non-current provisions,"Deferred credits, gains on inter-affiliate accounts",Accrued pension liabilities,Total deferred tax liabilities,Total non-current liabilities,Total liabilities,Ordinary share,Preference share,Advance receipts for share capital,Stock dividend to be distributed,Certificate of entitlement to new shares,Capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated retained earnings (accumulated deficit),Total retained earnings,Total other equity interest,Treasury shares,Total equity attributable to owners of parent,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Non-controlling interests,Total equity,Total liabilities & equity
2353 ACER,45261,4,Y,12,NTD,"48,134,128","140,558",0,"461,025",0,"701,205","52,308,232","981,335",0,"43,553,072",0,"348,843","157,566,038",0,"11,901,429","4,214,559",0,0,"1,391,943",0,"4,423,825","18,855,332","3,784,322","3,784,322","1,924,650","861,680","6,596,398","51,167,808","208,733,846","976,627",0,"787,803",0,0,"3,252,251","44,701,410","32,285,437","2,997,993","6,466,024",0,"613,488","39,518",0,"107,209,551",0,0,0,"712,983",0,"10,000,000","1,565,035",0,"1,486,249","14,232",0,"1,476,647","5,718,682","21,182,230","128,391,781","30,478,538",0,0,0,0,"30,478,538","27,805,176","3,011,327","7,313,941","8,165,718","18,490,986","664,598","-2,712,774","74,726,524",0,0,"5,615,541","80,342,065","208,733,846"
2357 Asustek,45261,4,Y,12,NTD,"79,226,605","1,467,580","1,062,825","542,352",0,0,"86,817,309","1,343,625",0,"122,790,339",0,0,"307,176,626","82,080","84,270,256","9,429,433",0,0,"24,884,185",0,"20,082,391","2,686,802","16,905,725","16,905,725","1,790,970","8,265,850","14,564,302","172,905,174","480,081,800","16,239,321",0,"1,053,507","709,249",0,"2,133,239","56,967,248","38,828,482","8,446,021","32,241,217",0,"550,270","33,392",0,"197,552,357",0,0,0,"1,537,470",0,0,"161,582",0,"984,628",0,0,"135,772","19,620,843","23,547,461","221,099,818","7,427,603",0,0,0,0,"7,427,603","12,380,727","45,445,605","693,928","117,271,397","163,410,930","56,596,319",0,"239,815,579",0,0,"19,166,403","258,981,982","480,081,800"
